seed,iteration,total_timesteps,completed_episodes,mean_episode_reward,mean_episode_length,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,learning_rate
42,28,57344,4,500.0,500.0,-0.0014459755257121287,0.009045465613598935,0.45291486689820887,0.001298189678345807,0.00546875,0.1111182377828912,9.749999999999998e-05
42,29,59392,4,500.0,500.0,-0.0032725172000937163,0.006033109987492935,0.4615751546807587,0.003815698313701432,0.046533203125,0.08997720478419569,9e-05
42,30,61440,4,500.0,500.0,-0.011066478323482443,0.0053876564881647935,0.43588994396850467,0.005278156710846815,0.075927734375,0.9315802880288698,8.25e-05
42,31,63488,4,500.0,500.0,-0.0018302952725207434,0.0027096022953173814,0.43380920849740506,0.0018053632957162336,0.00478515625,0.4686440823805086,7.5e-05
42,32,65536,5,500.0,500.0,-0.0041932250402169306,0.002164763749578924,0.42438784930855034,0.0031086461065569894,0.0330078125,0.9244833393960334,6.749999999999999e-05
42,33,67584,4,500.0,500.0,-0.0040360714861890305,0.00143059782999444,0.4130149243399501,0.0028616932191653176,0.0255859375,0.870455072535503,5.999999999999998e-05
42,34,69632,4,500.0,500.0,-0.001044491802167613,0.0008484931612883883,0.41018617814406755,0.0006893750687595457,0.00087890625,0.44674818208802825,5.250000000000001e-05
42,35,71680,4,500.0,500.0,-0.0011656530434265733,0.0005806847573467166,0.40760656744241713,0.0013587234439910389,0.004052734375,0.015260835037708698,4.5e-05
42,36,73728,4,500.0,500.0,-0.00047536254714941606,0.0004153137257958406,0.39987168377265336,0.00017314256692770868,0.0,0.5753720685079724,3.75e-05
42,37,75776,4,500.0,500.0,-0.0007381338567938655,0.0002937059070518444,0.39742965530604124,0.0004367998393718153,0.001123046875,0.6092553755896631,2.999999999999999e-05
42,38,77824,4,500.0,500.0,-0.001153923335368745,0.00021621023613533908,0.40247748848050835,0.0006375899130944163,0.0,0.5323993736586383,2.2499999999999984e-05
42,39,79872,4,500.0,500.0,-0.00040439930016873405,0.00019736458723400573,0.4029937950894237,0.00016669063916197047,0.0,0.7336827019765253,1.5000000000000012e-05
